Symbol,Company,ShariaGrade,BDSStatus,TargetWeightPct,IndexStatus,Warning
LLY,Lilly (Eli),A+,UNKNOWN,7.8037,ACTIVE,
XOM,ExxonMobil,A+,YES,4.8007,ACTIVE,
GE,GE Aerospace,A,UNKNOWN,2.6481,ACTIVE,
NFLX,Netflix,B+,UNKNOWN,2.5351,ACTIVE,
PG,Procter & Gamble,A,YES,2.4899,ACTIVE,
ANET,Arista Networks,B+,YES,1.8359,ACTIVE,
LIN,Linde plc,B+,UNKNOWN,1.6812,ACTIVE,
APH,Amphenol,A,UNKNOWN,1.449,ACTIVE,
DIS,Walt Disney Company (The),C+,YES,1.3906,WARNED,sharia_below_B-
UNP,Union Pacific Corporation,A,YES,1.3606,ACTIVE,
WELL,Welltower,A,YES,1.2781,ACTIVE,
BX,Blackstone Inc.,B+,UNKNOWN,1.268,ACTIVE,
COP,ConocoPhillips,A,YES,1.1667,ACTIVE,
ETN,Eaton Corporation,A+,YES,1.1655,ACTIVE,
TJX,TJX Companies,A+,YES,1.1121,ACTIVE,
PLD,Prologis,B+,YES,1.019,ACTIVE,
NEM,Newmont,A,UNKNOWN,1.0047,ACTIVE,
SPGI,S&P Global,A+,YES,0.9727,ACTIVE,
PH,Parker Hannifin,A+,YES,0.9344,ACTIVE,
ADP,Automatic Data Processing,A,YES,0.8508,ACTIVE,
BNY,BNY Mellon,UNKNOWN,UNKNOWN,0.8214,ACTIVE,
FCX,Freeport-McMoRan,A,UNKNOWN,0.8179,ACTIVE,
HWM,Howmet Aerospace,A+,YES,0.7869,ACTIVE,
MCK,McKesson Corporation,A+,YES,0.776,ACTIVE,
DASH,DoorDash,A,UNKNOWN,0.7685,ACTIVE,
EQIX,Equinix,B+,YES,0.7678,ACTIVE,
VLO,Valero Energy,A,YES,0.7558,ACTIVE,
VRT,Vertiv,A+,YES,0.7374,ACTIVE,
TT,Trane Technologies,A+,YES,0.7359,ACTIVE,
CEG,Constellation Energy,A+,YES,0.7305,ACTIVE,
PSX,Phillips 66,B+,YES,0.7289,ACTIVE,
CSX,CSX Corporation,A,YES,0.7077,ACTIVE,
MNST,Monster Beverage,B+,UNKNOWN,0.6839,ACTIVE,
MAR,Marriott International,A+,UNKNOWN,0.6821,ACTIVE,
ICE,Intercontinental Exchange,C+,YES,0.6789,WARNED,sharia_below_B-
PWR,Quanta Services,A+,YES,0.6751,ACTIVE,
UPS,United Parcel Service,B+,YES,0.6676,ACTIVE,
MCO,Moody's Corporation,A,UNKNOWN,0.6644,ACTIVE,
WM,Waste Management,B+,YES,0.6541,ACTIVE,
EMR,Emerson Electric,A,YES,0.6449,ACTIVE,
SLB,Schlumberger,A,YES,0.6339,ACTIVE,
JCI,Johnson Controls,A+,UNKNOWN,0.63,ACTIVE,
