Symbol,Company,ShariaGrade,BDSStatus,TargetWeightPct,IndexStatus,Warning
NVDA,Nvidia,A+,UNKNOWN,11.2894,ACTIVE,
AAPL,Apple Inc.,A+,UNKNOWN,9.683,ACTIVE,
MSFT,Microsoft,A+,UNKNOWN,6.2349,ACTIVE,
AVGO,Broadcom,A,UNKNOWN,4.3294,ACTIVE,
META,Meta Platforms,A,UNKNOWN,3.2414,ACTIVE,
MU,Micron Technology,A+,UNKNOWN,2.8291,ACTIVE,
LLY,Lilly (Eli),A+,UNKNOWN,2.1672,ACTIVE,
AMD,Advanced Micro Devices,A,UNKNOWN,1.9384,ACTIVE,
V,Visa Inc.,A,YES,1.3767,ACTIVE,
XOM,ExxonMobil,A+,YES,1.2637,ACTIVE,
JNJ,Johnson & Johnson,A,UNKNOWN,1.2163,ACTIVE,
AMAT,Applied Materials,A,UNKNOWN,1.0839,ACTIVE,
LRCX,Lam Research,A+,UNKNOWN,1.0763,ACTIVE,
CSCO,Cisco,A,UNKNOWN,1.0423,ACTIVE,
MA,Mastercard,A+,YES,0.9574,ACTIVE,
ABBV,AbbVie,A,UNKNOWN,0.8462,ACTIVE,
GE,GE Aerospace,A,UNKNOWN,0.8267,ACTIVE,
UNH,UnitedHealth Group,B+,UNKNOWN,0.8055,ACTIVE,
PG,Procter & Gamble,A,UNKNOWN,0.7747,ACTIVE,
CVX,Chevron Corporation,A+,UNKNOWN,0.765,ACTIVE,
KLAC,KLA Corporation,A+,UNKNOWN,0.7501,ACTIVE,
HD,Home Depot (The),A,UNKNOWN,0.7374,ACTIVE,
NFLX,Netflix,B+,UNKNOWN,0.7208,ACTIVE,
SNDK,Sandisk,A+,UNKNOWN,0.7157,ACTIVE,
GEV,GE Vernova,A+,UNKNOWN,0.6597,ACTIVE,
TXN,Texas Instruments,A+,YES,0.65,ACTIVE,
MRK,Merck & Co.,B+,YES,0.6222,ACTIVE,
WDC,Western Digital,A+,YES,0.569,ACTIVE,
RTX,RTX Corporation,A,UNKNOWN,0.5529,ACTIVE,
STX,Seagate Technology,A+,UNKNOWN,0.5357,ACTIVE,
QCOM,Qualcomm,A,UNKNOWN,0.5272,ACTIVE,
LIN,Linde plc,B+,UNKNOWN,0.5238,ACTIVE,
ANET,Arista Networks,B+,UNKNOWN,0.4726,ACTIVE,
ADI,Analog Devices,A+,UNKNOWN,0.4682,ACTIVE,
APH,Amphenol,A,UNKNOWN,0.4462,ACTIVE,
PEP,PepsiCo,B+,UNKNOWN,0.4295,ACTIVE,
AMGN,Amgen,B,UNKNOWN,0.4031,ACTIVE,
TJX,TJX Companies,A+,UNKNOWN,0.4003,ACTIVE,
DIS,Walt Disney Company (The),C+,YES,0.3991,WARNED,sharia_below_B-
CRWD,CrowdStrike,B+,YES,0.3857,ACTIVE,
TMO,Thermo Fisher Scientific,B,UNKNOWN,0.382,ACTIVE,
BLK,BlackRock,B+,UNKNOWN,0.3783,ACTIVE,
GLW,Corning Inc.,A+,UNKNOWN,0.3711,ACTIVE,
ETN,Eaton Corporation,A+,UNKNOWN,0.3623,ACTIVE,
SCCO,SCCO,A,YES,0.3561,ACTIVE,
APP,AppLovin,A+,UNKNOWN,0.3491,ACTIVE,
ABT,Abbott Laboratories,A,UNKNOWN,0.3407,ACTIVE,
GILD,Gilead Sciences,B+,UNKNOWN,0.3399,ACTIVE,
UNP,Union Pacific Corporation,A,UNKNOWN,0.3374,ACTIVE,
BX,Blackstone Inc.,B+,UNKNOWN,0.3347,ACTIVE,
WELL,Welltower,A,YES,0.3227,ACTIVE,
UBER,Uber,A,UNKNOWN,0.3226,ACTIVE,
HON,Honeywell,B+,UNKNOWN,0.321,ACTIVE,
ISRG,Intuitive Surgical,B+,UNKNOWN,0.3187,ACTIVE,
PLD,Prologis,B+,UNKNOWN,0.2913,ACTIVE,
COP,ConocoPhillips,A,UNKNOWN,0.2904,ACTIVE,
VRT,Vertiv,A+,YES,0.283,ACTIVE,
DHR,Danaher Corporation,A,YES,0.2774,ACTIVE,
CRM,Salesforce,B+,UNKNOWN,0.275,ACTIVE,
SPGI,S&P Global,A+,UNKNOWN,0.2691,ACTIVE,
PH,Parker Hannifin,A+,UNKNOWN,0.2659,ACTIVE,
SYK,Stryker Corporation,A,UNKNOWN,0.261,ACTIVE,
HWM,Howmet Aerospace,A+,UNKNOWN,0.2458,ACTIVE,
NEM,Newmont,A,UNKNOWN,0.2451,ACTIVE,
EQIX,Equinix,B+,UNKNOWN,0.2383,ACTIVE,
TT,Trane Technologies,A+,UNKNOWN,0.2364,ACTIVE,
CDNS,Cadence Design Systems,A,YES,0.2364,ACTIVE,
FTNT,Fortinet,A,UNKNOWN,0.2346,ACTIVE,
