Symbol,Company,ShariaGrade,BDSStatus,TargetWeightPct,IndexStatus,Warning
SPCX,SPCX,A,YES,9.3175,ACTIVE,
V,Visa Inc.,A,YES,4.3872,ACTIVE,
UNH,UnitedHealth Group,B+,YES,2.4675,ACTIVE,
LRCX,Lam Research,A+,UNKNOWN,2.4199,ACTIVE,
GE,GE Aerospace,A,UNKNOWN,2.4094,ACTIVE,
NFLX,Netflix,B+,UNKNOWN,1.9267,ACTIVE,
GEV,GE Vernova,A+,UNKNOWN,1.7218,ACTIVE,
ANET,Arista Networks,B+,YES,1.4413,ACTIVE,
LIN,Linde plc,B+,UNKNOWN,1.4242,ACTIVE,
TJX,TJX Companies,A+,YES,1.1267,ACTIVE,
UNP,Union Pacific Corporation,A,YES,1.1177,ACTIVE,
WELL,Welltower,A,YES,1.0987,ACTIVE,
BX,Blackstone Inc.,B+,UNKNOWN,1.0347,ACTIVE,
COP,ConocoPhillips,A,YES,0.9375,ACTIVE,
SCCO,SCCO,A,YES,0.9199,ACTIVE,
PLD,Prologis,B+,YES,0.8893,ACTIVE,
ISRG,Intuitive Surgical,B+,YES,0.811,ACTIVE,
PH,Parker Hannifin,A+,YES,0.7893,ACTIVE,
GLW,Corning Inc.,A+,YES,0.7853,ACTIVE,
SPGI,S&P Global,A+,YES,0.782,ACTIVE,
HWM,Howmet Aerospace,A+,YES,0.7269,ACTIVE,
BNY,BNY Mellon,UNKNOWN,UNKNOWN,0.6864,ACTIVE,
SPOT,SPOT,A,YES,0.6783,ACTIVE,
ADP,Automatic Data Processing,A,YES,0.6762,ACTIVE,
EQIX,Equinix,B+,YES,0.6612,ACTIVE,
TT,Trane Technologies,A+,YES,0.6503,ACTIVE,
PWR,Quanta Services,A+,YES,0.6467,ACTIVE,
NEM,Newmont,A,UNKNOWN,0.6385,ACTIVE,
MNST,Monster Beverage,B+,UNKNOWN,0.6106,ACTIVE,
VRT,Vertiv,A+,YES,0.6049,ACTIVE,
CEG,Constellation Energy,A+,YES,0.6039,ACTIVE,
CSX,CSX Corporation,A,YES,0.6014,ACTIVE,
VLO,Valero Energy,A,YES,0.5941,ACTIVE,
WM,Waste Management,B+,YES,0.586,ACTIVE,
CVNA,Carvana,A+,YES,0.5766,ACTIVE,
JCI,Johnson Controls,A+,UNKNOWN,0.5692,ACTIVE,
CMI,Cummins,A+,YES,0.5687,ACTIVE,
RCL,Royal Caribbean Group,B,YES,0.5509,ACTIVE,
DASH,DoorDash,A,UNKNOWN,0.5478,ACTIVE,
PSX,Phillips 66,B+,YES,0.544,ACTIVE,
EMR,Emerson Electric,A,YES,0.5397,ACTIVE,
SHW,Sherwin-Williams,A+,YES,0.5349,ACTIVE,
MCO,Moody's Corporation,A,UNKNOWN,0.5296,ACTIVE,
ITW,Illinois Tool Works,A+,YES,0.5286,ACTIVE,
CTAS,Cintas,A+,YES,0.5281,ACTIVE,
ROST,Ross Stores,A,UNKNOWN,0.5212,ACTIVE,
EOG,EOG Resources,B,YES,0.5051,ACTIVE,
ECL,Ecolab,A,YES,0.5018,ACTIVE,
BAM,BAM,A,UNKNOWN,0.4992,ACTIVE,
NSC,Norfolk Southern,B+,YES,0.4863,ACTIVE,
FDX,FedEx,B+,UNKNOWN,0.4735,ACTIVE,
SLB,Schlumberger,A,YES,0.4725,ACTIVE,
ORLY,O’Reilly Automotive,A+,YES,0.4673,ACTIVE,
HLT,Hilton Worldwide,A,UNKNOWN,0.4661,ACTIVE,
MPWR,Monolithic Power Systems,A+,UNKNOWN,0.4598,ACTIVE,
PCAR,Paccar,A,YES,0.4519,ACTIVE,
URI,United Rentals,A,YES,0.4332,ACTIVE,
HONA,Honeywell Aerospace,UNKNOWN,UNKNOWN,0.4236,ACTIVE,
CRH,CRH plc,B+,YES,0.4103,ACTIVE,
HPE,Hewlett Packard Enterprise,B,UNKNOWN,0.4078,ACTIVE,
BE,BE,A,UNKNOWN,0.4068,ACTIVE,
NKE,"Nike, Inc.",B+,YES,0.4,ACTIVE,
FIX,Comfort Systems USA,A+,YES,0.3971,ACTIVE,
TEL,TE Connectivity,A,YES,0.3911,ACTIVE,
COR,Cencora,A,YES,0.3905,ACTIVE,
BKR,Baker Hughes,A,YES,0.3879,ACTIVE,
PSA,Public Storage,A,YES,0.3848,ACTIVE,
GRMN,Garmin,A,UNKNOWN,0.3666,ACTIVE,
FANG,Diamondback Energy,B+,YES,0.3656,ACTIVE,
LITE,Lumentum,A,YES,0.3571,ACTIVE,
KEYS,Keysight Technologies,A,UNKNOWN,0.3555,ACTIVE,
FAST,Fastenal,A+,UNKNOWN,0.3514,ACTIVE,
CTVA,Corteva,A+,YES,0.3486,ACTIVE,
CAH,Cardinal Health,A,YES,0.3463,ACTIVE,
EA,Electronic Arts,B,YES,0.3423,ACTIVE,
ROK,Rockwell Automation,A+,UNKNOWN,0.3407,ACTIVE,
NDAQ,"Nasdaq, Inc.",A,UNKNOWN,0.3397,ACTIVE,
CARR,Carrier Global,B,YES,0.3313,ACTIVE,
FITB,Fifth Third Bancorp,UNKNOWN,UNKNOWN,0.331,ACTIVE,
COHR,Coherent Corp.,A+,YES,0.3302,ACTIVE,
EBAY,eBay Inc.,B,YES,0.3248,ACTIVE,
WAB,Wabtec,A,YES,0.3192,ACTIVE,
